sentence,Any T?,Time?,Date?,Place with T?,Person with T?,Other NE with T?,Explicit?,Symbols?,Set?,Duration?,Formal?,Digit?,Solar?,Gregorian?,Lunar?,MNTH,DP,RELATIVE(RY+RD),SEASON,WD
قرار ملاقات من با علی به ساعت پنج عصر سه شنبه تغییر کرد.,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
راس ساعت ۱۸:۳۴ دقیقه به دنبال او رفتم.,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
مدت زمان این فیلم ۲ ساعت و سی و دو دقیقه است.,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
اون سیگار بهمن در داشت و سه ساعت مدام در مورد عصر طلایی علم سخن رانی می‌کرد.,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
خیال کردیم که دیگه امروز رو میشه خونه نشست و سه چهار ساعت خوابید.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
هر سه روز یک بار باید راس ساعت ۴ قرص ها را مصرف کنم.,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ساعت 05:34 AM در تاریخ 05 اکتبر 2018 این خبر توسط خبرگزاری ها پخش شد.,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
بعد چند روز زنده ماندن آن ها خوش خیالی بنظر میرسید.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
حوض ماهی که بدون ماهی نمی‌شود؛ باید امشب برم و حتما چند ماهی برای حوضم بخرم.,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
سال ۱۳۷۶ که به دنیا آمد ساعت ۴ صبح بود و آفتاب هنوز طلوع نکرده بود.,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
خبر خوبی که چند دقیقه پیش به دستم رسید روزم را ساخت.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بیا آخرش کار خودش رو کرد و بعد ۴ ساعت تلاش دست خالی برگشت.,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
قیمت مرسدس ۲۰۲۲ حدود ۲۰۰ هزار دلار است.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
آذری جهرمی ۲ سال پیش وزیر سابق وزارت ارتباطات در ایران بود.,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
سی ثانیه بعد سکوت شکسته شد و به حرف آمد.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
دولت محمود احمدی نژاد با نام دولت بهار پس از ۴ سال در ۲۰۱۸ به کار خود خاتمه داد.,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
هر سه روز به کلاس میرم و بعد بیست دقیقه چت و گفت و گو نیم ساعتی درس می‌خونم.,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
داروخانه ۱۳ فروردین سر چهار راه راس ساعت ۱۴ عصر شروع به فروش دارو می‌کند.,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0
عادل ۳ دقیقه بعد رو به من کرد و گفت ساعت چند است؟,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
۱۴۰۱/۰۵/۲۲ - ۱۴:۱۲ ب.ظ. در خبری که توسط خبرگزاری مهر منتشر شد.,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
